"volsdepart","volsdepartcode","volsarrivee","volsarriveecode","volsdist","volstrain3h","volstrain6h"
"Lyon","LYS","Poznań","POZ",2266,,
"Bâle","BSL","Lecce","BDS",2267,,
"Fortaleza","FOR","Belém","BEL",2275,,
"Santiago","SCL","Buenos Aires","EZE",2279,,
"Brest/Guipavas","BES","Lisbon","LIS",2281,,
"Bordeaux/Mérignac","BOD","Bremen","BRE",2294,,
"avignon","AVN","porto","OPO",2301,,
"Hangzhou","HGH","Beijing","PEK",2302,"Non","Oui"
"Milan","MXP","Madrid","MAD",2302,,
"Marseille","MRS","Séville","SVQ",2309,,
"Paris","CDG","goteborg","GOT",2315,,
"toulouse","TLS","gottingen","HAJ",2321,,
"Poitiers","PIS","Lisbon","LIS",2322,,
"Ho Chi Minh City","SGN","Hanoi","HAN",2323,,
"Marseille","MRS","Porto","OPO",2336,,
"Paris","CDG","Torun","BZG",2337,,
"Marseille","MRS","Potsdam","SXF",2341,,
"Lyon","LYS","Dublin, Irelande","DUB",2365,,
"rennes","RNS","Berlin","SXF",2370,,
"Brussels","BRU","Rome","CIA",2376,,
"Bâle/Mulhouse","BSL","Madrid","MAD",2376,,
"Lyon","LYS","Kraków","KRK",2394,,
"Montreal","YUL","chicago","MDW",2399,,
"Toulouse","TLS","Split","SPU",2405,,
"Paris","CDG","Sardeigne","CAG",2407,,
"Mascate","MCT","Koweit","KWI",2407,,
"Lyon","LYS","Monastir","MIR",2415,,
"Montpellier/Méditerranée","MPL","Berlin","SXF",2419,,
"Nantes","NTE","Prague","PRG",2421,,
"Marseille","MRS","Belgrade","BEG",2427,,
"Toulouse","TLS","Prague","PRG",2430,,
"geneve","GVA","Tirana","TIA",2431,,
"Lyon","LYS","Porto","OPO",2432,,
"Montpellier/Méditerranée","MPL","Lisbon","LIS",2437,,
"Paris","CDG","Alicante","ALC",2440,,
"Brest/Guipavas","BES","Calvi/Sainte-Catherine","CLY",2443,,
"Lyon","LYS","Copenhagen","CPH",2445,,
"Bâle/Mulhouse","BSL","Alicante","ALC",2453,,
"Nantes","NTE","Berlin","SXF",2461,,
"Paris","CDG","Porto","OPO",2465,,
"Pise","PSA","Warsaw","WMI",2473,,
"Nantes","NTE","Faro","FAO",2487,,
"Paris","CDG","Kraków","KRK",2495,,
"Paris","CDG","Budapest","BUD",2499,,
"Bordeaux/Mérignac","BOD","Edinburgh","EDI",2504,,
"Bordeaux/Mérignac","BOD","Glasgow","GLA",2514,,
"Geneve","GVA","Varsovie","WMI",2515,,
"Seoul","ICN","Tokyo ","NRT",2517,,
"Tokyo","NRT","Seoul","ICN",2517,,
"Strasbourg","SXB","Madrid","MAD",2521,,
"Brest/Guipavas","BES","Bastia/Poretta","BIA",2530,,
"Chengdu","CTU","LHASA","LXA",2530,,
"Marseille","MRS","Leeds","LBA",2530,,
"Montpellier/Méditerranée","MPL","Budapest","BUD",2531,,
"Paris","CDG","Bergen","BGO",2534,,
"Prague","PRG","Bordeaux","BOD",2535,,
"bordeaux","BOD","prague","PRG",2535,,
"toulouse","TLS","rabat","RBA",2552,,
"rabat","RBA","toulouse","TLS",2552,,
"Toulouse/Blagnac","TLS","Vienna","VIE",2554,,
"Lyon","LYS","Shannon","SNN",2554,,
"Bordeaux","BOD","Tunis","TUN",2555,,
"Toulouse/Blagnac","TLS","Hamburg","HAM",2559,,
"Edinburgh","EDI","Lyon","LYS",2564,,
"Lyon","LYS","Edimbourg","EDI",2564,,
"Marseille","MRS","Ouargla (ALG)","OGX",2565,,
"fort-de-france","FDF","port-au-prince","PAP",2566,,
"Lyon","LYS","Malaga","AGP",2572,,
"Vienna","VIE","Stockholm","ARN",2576,,
"Rennes/Saint-Jacques","RNS","Malagua","AGP",2577,,
"Toulouse/Blagnac","TLS","Newcastle","NCL",2578,,
"Stockholm","ARN","Brussels","BRU",2578,,
"roissy","CDG","Nápoli","NAP",2582,,
"Lyon","LYS","Séville","SVQ",2596,,
"Geneva","GVA","Glasgow","GLA",2597,,
"Nice","NCE","Liverpool","LPL",2611,,
"Marseille","MRS","Lisbonne","LIS",2618,,
"Lyon","LYS","Galway","GWY",2629,,
"Tours","TUF","Oran","ORN",2638,,
"Montpellier/Méditerranée","MPL","Fes (Maroc)","FEZ",2647,,
"Rennes/Saint-Jacques","RNS","Rome","CIA",2649,,
"Toulouse","TLS","Berlin","SXF",2653,,
"Marseille","MRS","Faro","FAO",2654,,
"Paris","CDG","Varsovie","WMI",2655,,
"Marseille","MRS","Cracovie","KRK",2661,,
"Lima","LIM","Quito","UIO",2662,,
"Paris","CDG","Sarajevo","SJJ",2677,,
"Bordeaux/Mérignac","BOD","Berlin","SXF",2679,,
"Brussels","BRU","Nápoli","NAP",2693,,
"Paris","CDG","Salerno","QSR",2696,,
"Clermont-Ferrand/Auvergne","CFE","Catane","CTA",2706,,
"Lyon","LYS","Warsaw","WMI",2711,,
"Paris","CDG","Oslo","OSL",2717,,
"Nantes","NTE","Copenhagen","CPH",2725,,
"Nantes","NTE","Viennes","VIE",2730,,
"Brest/Guipavas","BES","Prague","PRG",2731,,
"Bordeaux/Mérignac","BOD","Palermo","PMO",2732,,
"Paris","CDG","Algiers","ALG",2745,,
"Zurich","ZRH","Bucharest","OTP",2780,,
"Marseille","MRS","Dublin","DUB",2789,,
"Nice","NCE","Warsaw","WMI",2790,,
"Geneva","GVA","Séville","SVQ",2791,,
"Lyon","LYS","Lisbon","LIS",2801,,
"Barcelona","BCN","Bremen","BRE",2803,,
"Bordeaux/Mérignac","BOD","Casablanca ","CMN",2812,,
"Montpellier","MPL","Rabat","RBA",2815,,
"Venice","VCE","Madrid","MAD",2817,,
"Mexico City","MEX","Obregon","CEN",2821,,
"Paris","CDG","grenade","GRX",2824,,
"Paris","CDG","Dubrovnik","DBV",2824,,
"Paris","CDG","Bari","BRI",2832,,
"Rennes/Saint-Jacques","RNS","Gothenburg","GOT",2837,,
"Paris","CDG","Annaba","AAE",2845,,
"Toulouse/Blagnac","TLS","Glasgow","GLA",2848,,
"Paris","CDG","Belgrade","BEG",2850,,
"Stockholm","ARN","Londres","LTN",2856,,
"Lyon","LYS","Tanger","TNG",2892,,
"Lyon","LYS","Faro","FAO",2911,,
"Copenhagen","CPH","Marseille","MRS",2913,,
"Marseille","MRS","Copenhagen","CPH",2913,,
"Seville","SVQ","Paris","CDG",2918,,
"Paris","CDG","Séville","SVQ",2918,,
"Beauvais/Tillé","BVA","Belgrade","BEG",2934,,
"Paris","CDG","Lisbon","LIS",2943,,
"Lisbon","LIS","Paris","CDG",2943,,
"Paris","CDG","Palermo","PMO",2945,,
"Montpellier/Méditerranée","MPL","Copenhagen","CPH",2955,,
"Bordeaux/Mérignac","BOD","Bari","BRI",2956,,
"Marseille","MRS","Sofia","SOF",2957,,
"Paris","CDG","Malaga","AGP",2975,,
"Paris","CDG","Tunis","TUN",2979,,
"Geneva","GVA","Lisbon","LIS",2995,,
"Marseille","MRS","Belfast","BFS",2996,,
"Montpellier ","MPL","Casablanca","CMN",3031,,
"Brest","BES","Rome","CIA",3046,,
"Paris","CDG","Brindisi","BDS",3051,,
"Paris","CDG","Stockholm","ARN",3082,,
"Stockholm","ARN","Paris","CDG",3082,,
"Nice ","NCE","Athenes","ATH",3087,,
"Marseille","MRS","Glasgow","GLA",3091,,
"Brest/Guipavas","BES","Vienne (Autriche)","VIE",3101,,
"Algiers","ALG","Tamanrasset","TMR",3120,,
"Bordeaux/Mérignac","BOD","Budapest","BUD",3127,,
"Paris","CDG","Lamezia","SUF",3134,,
"TOULOUSE","TLS","MARRAKECH","RAK",3144,,
"Montpellier/Méditerranée","MPL","Aberdeen","ABZ",3154,,
"Marseille","MRS","Casablanca","CMN",3159,,
"Montpellier/Méditerranée","MPL","Sofia (Bulgarie)","SOF",3159,,
"Montpellier","MPL","Varsovie","WMI",3162,,
"Rennes/Saint-Jacques","RNS","Oslo","OSL",3164,,
"Lyon","LYS","Linköping","LPI",3165,,
"Paris","CDG","Faro","FAO",3166,,
"Orly","CDG","Tirana","TIA",3169,,
"Rennes/Saint-Jacques","RNS","Tunis","TUN",3170,,
"Paris","CDG","cluj-Napoca","CLJ",3183,,
"Paris","CDG","tlemcen","TLM",3184,,
"Brussels","BRU","Tallinn","TLL",3187,,
"Tallinn","TLL","Brussels","BRU",3187,,
"bordeaux","BOD","marrakech","RAK",3207,,
"London","LTN","Lisbon","LIS",3216,,
"Brest/Guipavas","BES","Rabat","RBA",3228,,
"Paris","CDG","Monastir","MIR",3240,,
"cayenne","CAY","Pointe à pitre","PTP",3242,,
"Paris","CDG","Tanger","TNG",3265,,
"Paris","CDG","Catania","CTA",3267,,
"Lyon","LYS","rabat","RBA",3285,,
"Rabat","RBA","Lyon","LYS",3285,,
"Bordeaux/Mérignac","BOD","Kraków","KRK",3287,,
"Lyon","LYS","Bucharest","OTP",3299,,
"Bordeaux/Mérignac","BOD","Belgrade","BEG",3311,,
"Marseille","MRS","goteborg","GOT",3316,,
"Lyon","LYS","Oslo","OSL",3317,,
"Nantes","NTE","Oslo","OSL",3340,,
"Marseille","MRS","roumanie","OTP",3341,,
"Paris","CDG","Riga","RIX",3348,,
"Paris","CDG","Vilnius","VNO",3351,,
"Luxem","LUX","Helsinki","HEL",3356,,
"Geneva","GVA","Stockholm","ARN",3369,,
"Bordeaux/Mérignac","BOD","Gothenburg","GOT",3370,,
"Paris","CDG","Trondheim","TRD",3372,,
"Montpellier/Méditerranée","MPL","Marrakech (MAR)","RAK",3396,,
"Strasbourg","SXB","Helsinki","HEL",3431,,
"São Paulo","GRU","Buenos Aires","EZE",3448,,
"Strasbourg","SXB","lisbone","LIS",3452,,
"Bordeaux/Mérignac","BOD","Gdansk","GDN",3471,,
"Toulouse","TLS","Göteborg","GOT",3474,,
"geneve","GVA","rabat","RBA",3477,,
"Bastia/Poretta","BIA","Edimbourg","EDI",3507,,
"Paris","CDG","Sofia","SOF",3512,,
"Marseille","MRS","marrakech","RAK",3515,,
"Paris","CDG","Malte","MLA",3515,,
"Paris","CDG","Suceava","SCV",3520,,
"Brest/Guipavas","BES","Budapest","BUD",3525,,
"New Delhi","DEL","Chennai","MAA",3526,,
"Montpellier/Méditerranée","MPL","Bucharest","OTP",3535,,
"Lyon","LYS","Stockholm","ARN",3538,,
"Amsterdam","AMS","St. Petersburg","LED",3551,,
"Bordeaux/Mérignac","BOD","Warsaw","WMI",3553,,
"Athens","ATH","Lyon","LYS",3565,,
"Paris","CDG","Turku","TKU",3574,,
"Francfort (avant bus)","FRA","Athènes","ATH",3635,,
"Marseille","MRS","Mykonos","JMK",3652,,
"Paris","CDG","Rabat","RBA",3667,,
"Paris","CDG","Tallinn","TLL",3681,,
"paris CDG","CDG","Bucharest","OTP",3704,,
"Nice","NCE","Oslo","OSL",3718,,
"Paris","CDG","Thessaloniki","SKG",3724,,
"London","LTN","Reykjavík","KEF",3728,,
"Marseille","MRS","Bergen","BGO",3752,,
"Nantes","NTE","Stockholm","ARN",3775,,
"Nice","NCE","Marrakech","RAK",3787,,
"Paris","CDG","Helsinki","HEL",3795,,
"Albuquerque","ABQ","Seatle","BFI",3810,,
"barcelone","BCN","athène","ATH",3813,,
"Venice","VCE","Lisbon","LIS",3835,,
"Marseille","MRS","Heraklion","HER",3865,,
"Paris","CDG","Casablanca","CMN",3867,,
"Brasília","BSB","Manaus","MAO",3902,,
"Rio De Janeiro","GIG","Joao Pessoa","JPA",3915,,
"Marseille","MRS","Istanbul","ISL",3916,,
"Grenoble","GNB","Istanbul","ISL",3921,,
"Nantes","NTE","Trondheim ","TRD",3946,,
"Cairns","CNS","Sydney","SYD",3950,,
"Nouméa","GEA","Sydney","SYD",3965,,
"Clermont-Ferrand/Auvergne","CFE","Minsk","MSQ",3971,,
"Genève","GVA","Helsinki","HEL",3986,,
"Lyon","LYS","Turku","TKU",3987,,
"Toulouse/Blagnac","TLS","Athens","ATH",3997,,
"Lyon","LYS","Trondheim","TRD",4015,,
"Montpellier/Méditerranée","MPL","Stockholm","ARN",4047,,
"Hobart","HBA","Christchurch","CHC",4051,,
"Marseille","MRS","Minsk","MSQ",4052,,
"Geneva","GVA","Marrakech","RAK",4063,,
"Montpellier/Méditerranée","MPL","Heraklion","HER",4066,,
"Paris","CDG","Varna (Bulgarie)","VAR",4085,,
"Brest/Guipavas","BES","Reykjavík","KEF",4095,,
"Paris","CDG","Jyvaskyla","JYV",4115,,
"Calgary","YYC","San Diego","SAN",4125,,
"Copenhagen","CPH","Madrid","MAD",4125,,
"Bordeaux/Mérignac","BOD","Stockholm","ARN",4134,,
"Lyon","LYS","Helsinki","HEL",4166,,
"Niamey","NIM","Dakar","DSS",4166,,
"Mascate","MCT","Djibouti","JIB",4177,,
"Brussels","BRU","Athens","ATH",4208,,
"Toulouse/Blagnac","TLS","Stockholm","ARN",4212,,
"Paris","CDG","Athens","ATH",4222,,
"Athens","ATH","Paris","CDG",4222,,
"Bordeaux","BOD","Bucharest","OTP",4222,,
"Nice","NCE","Tallin","TLL",4244,,
"Paris","CDG","Marrakech","RAK",4262,,
"Paris","CDG","St Petersbourg-Moscou","LED",4271,,
"Lyon","LYS","Rhodes","RHO",4362,,
"Luxembourg","LUX","Rovaniemi","RVN",4380,,
"Rennes/Saint-Jacques","RNS","Iasi","IAS",4383,,
"Montpellier/Méditerranée","MPL","Rhodes","RHO",4394,,
"Toronto","YYZ","Saskatoon","YXE",4425,,
"Paris","CDG","Istanbul","ISL",4476,,
"Paris","CDG","Mykonos","JMK",4480,,
"Montpellier/Méditerranée","MPL","Trondheim","TRD",4515,,
"Lyon","LYS","St. Petersburg","LED",4566,,
"Bordeaux/Mérignac","BOD","Gran Canaria Island","LPA",4574,,
"Marseille","MRS","Helsinki","HEL",4596,,
"Lisbon","LIS","Vienna","VIE",4615,,
"bordeaux","BOD","turku","TKU",4622,,
"Paris","CDG","Chania","CHQ",4626,,
"Melbourne","MEL","Cairns (Australie)","CNS",4632,,
"Barcelona","BCN","Uppsala","ARN",4635,,
"Nantes","NTE","Athens","ATH",4638,,
"Lyon","LYS","Ankara","ESB",4691,,
"Toulouse/Blagnac","TLS","Ponta Delgada","PDL",4729,,
"Athens","ATH","Madrid","MAD",4760,,
"Paris","CDG","héraklion","HER",4785,,
"Bordeaux/Mérignac","BOD","Helsinki","HEL",4836,,
"Paris","CDG","Kittala","KTT",4847,,
"Toulouse/Blagnac","TLS","Helsinki","HEL",4873,,
"Metz / Nancy","ETZ","Agadir","AGA",4924,,
"Paris","CDG","Tromsø","TOS",4925,,
"Lima","LIM","Santiago","SCL",4929,,
"belem","BEL","sao paulo","GRU",4930,,
"Montpellier/Méditerranée","MPL","Umea","UME",4955,,
"Paris","CDG","rhodes","RHO",4995,,
"Paris","CDG","Moscow","ZIA",5000,,
"Beijing","PEK","Sanya","SYX",5040,,
"Marseille","MRS","Las Palmas","LPA",5054,,
"Montpellier","MPL","St. Petersbourg","LED",5057,,
"Lyon","LYS","Moscow","ZIA",5093,,
"Marseille","MRS","Anapa (Russie)","AAQ",5104,,
"Toulouse/Blagnac","TLS","La Horta ","HOR",5145,,
"Nantes","NTE","Heraklion","HER",5161,,
"Paris","CDG","Ankara","ESB",5174,,
"Stockholm","ARN","Madrid","MAD",5209,,
"São Paulo","GRU","Santiago","SCL",5234,,
"Geneva","GVA","Reykjavík","KEF",5294,,
"Clermont-Ferrand/Auvergne","CFE","Moscow","ZIA",5321,,
"Lyon","LYS","Chypre","ECN",5321,,
"Lyon","LYS","Larnarca","LCA",5376,,
"Calgary","YYC","Toronto","YYZ",5384,,
"Lyon ","LYS","Tenerife","TFS",5475,,
"Paris","CDG","Horta","HOR",5492,,
"Montpellier/Méditerranée","MPL","Moscow","ZIA",5532,,
"Seattle","BFI","Chicago","MDW",5570,,
"Geneva","GVA","Beirut","BEY",5674,,
"Paris","CDG","Tenerife Island","TFS",5699,,
"Paris","CDG","Kayseri","ASR",5700,,
"Marseille","MRS","Tel Aviv","TLV",5769,,
"Bâle/Mulhouse","BSL","Tel Aviv","TLV",5774,,
"Lyon","LYS","Beirut","BEY",5791,,
"Paris","CDG","Paphos","PFO",5837,,
"Toulouse","TLS","Moscow","ZIA",5844,,
"Toulouse","TLS","Larnaka (Chypre)","LCA",5850,,
"Franckfort","FRA","Le Caire","CAI",5850,,
"Strasbourg","SXB","Telaviv","TLV",5860,,
"Nice","NCE","Reykjavík","KEF",5878,,
"Francfort","FRA","Tel Aviv","TLV",5913,,
"graz","GRZ","Reykjavik","RKV",5913,,
"Tokyo","NRT","Hong Kong","HKG",5931,,
"Paris ","CDG","Larnaca (chypre)","LCA",5969,,
"Stockholm","ARN","Larnaca","LCA",5970,,
"Montpellier/Méditerranée","MPL","Tel Aviv","TLV",5973,,
"Marseille","MRS","Diyarbekir","DIY",5989,,
"Stockholm","ARN","Lisbon","LIS",6003,,
"Montreal","YUL","Calgary","YYC",6018,,
"Boston","BOS","Aspen","ASE",6040,,
"Washington","DCA","Mexico City","MEX",6054,,
"Tokyo","NRT","Manila","MNL",6108,,
"Johannesburg","JNB","Maurice","MRU",6139,,
"Lyon","LYS","Ahman (Jordanie)","AMM",6152,,
"Barcelona","BCN","Tel Aviv","TLV",6170,,
"Toulouse/Blagnac","TLS","Beirut","BEY",6264,,
"Montpellier","MPL","Sohag (Égypte)","HMB",6306,,
"Beirut","BEY","Paris","CDG",6381,,
"Paris","CDG","Beirut","BEY",6381,,
"Paris","CDG","le caire","CAI",6428,,
"Calgary","YYC","Philadelphia","PHL",6457,,
"Marseille","MRS","Tbilisi","TBS",6466,,
"Nice","NCE","Kazan","KZN",6497,,
"Paris","CDG","Narsarsuaq","UAK",6498,,
"Paris","CDG","Tel aviv","TLV",6576,,
"Niamey","NIM","Marseille","MRS",6695,,
"Frankfurt am Main","FRA","Baku","GYD",6742,,
"Paris","CDG","Amman","AMM",6770,,
"Brest","BES","Ilulissat","JAV",6802,,
"Franckfort","FRA","Luxor","LXR",6823,,
"Paris","CDG","Yerevan","EVN",6827,,
"Strasbourg","SXB","Baku","GYD",6875,,
"montpellier","MPL","Ouagadougou","OUA",7031,,
"Lyon","LYS","Souleymaniyeh","ISU",7079,,
"geneve","GVA","baku","GYD",7134,,
"Paris","CDG","Ufa","UFA",7265,,
"Lyon","LYS","longyearbyen","LYR",7295,,
"Washington","DCA","Los Angeles","LAX",7430,,
"Santiago","SCL","Ile de paques","IPC",7513,,
"Paris","CDG","Suleymaniyeh","ISU",7532,,
"Montpellier/Méditerranée","MPL","Baku","GYD",7556,,
"Montpellier","MPL","Dakar","DSS",7577,,
"Marseille","MRS","Dakar","DSS",7683,,
"Kazan","KZN","Jeddah","JED",7738,,
"Brest","BES","Cap vert","SID",7822,,
"Brest/Guipavas","BES","Dakar","DSS",7871,,
"Marseille","MRS","Teheran","IKA",7993,,
"Lyon","LYS","Téhéran","IKA",8002,,
"Lyon","LYS","Dakar","DSS",8063,,
"Paris","CDG","saint louis","XLS",8109,,
"Montréal","YUL","San Franscisco","SFO",8161,,
"San Francisco","SFO","Montreal (Canada)","YUL",8161,,
"Paris","CDG","Ouagadougou","OUA",8196,,
"Rennes/Saint-Jacques","RNS","Baku","GYD",8265,,
"Mars","MRS","Cotonou","COO",8275,,
"Montpellier/Méditerranée","MPL","Cotonou ","COO",8292,,
"Kuwait City","KWI","Lyon","LYS",8294,,
"Montpellier/Méditerranée","MPL","Conakry","CKY",8300,,
"Montpellier/Méditerranée","MPL","Lomé","LFW",8346,,
"Paris","CDG","Bamako","BKO",8349,,
"Boston","BOS","Los Angeles","LAX",8395,,
"Paris","CDG","Teheran","IKA",8400,,
"Lyon","LYS","Karthoum","KRT",8440,,
"Paris","CDG","Dakar","DSS",8443,,
"Dakar","DSS","Paris","CDG",8443,,
"Accra","ACC","Montpellier","MPL",8493,,
"Lima","LIM","Mexico","MEX",8499,,
"Berlin","SXF","Tashkent","TAS",8614,,
"Montpellier/Méditerranée","MPL","Abidjan","ABJ",8670,,
"Bordeaux/Mérignac","BOD","Yekaterinburg","SVX",8726,,
"Lyon","LYS","cotonou","COO",8780,,
"Kuwait City","KWI","Paris","CDG",8820,,
"Niamey","NIM","Djibouti","JIB",8907,,
"Berlin","SXF","Dushanbe","DYU",8920,,
"Lyon","LYS","Shiraz, Iran","SYZ",8961,,
"Paris","CDG","Khartoum","KRT",9220,,
"Paris","CDG","Conakry","CKY",9281,,
"Paris","CDG","Riyad","RUH",9312,,
"Nantes","NTE","abidjan","ABJ",9337,,
"Kuwait City","KWI","London","LTN",9368,,
"Paris","CDG","Lagos","LOS",9449,,
"Paris","CDG","Cotonou","COO",9497,,
"rennes","RNS","abidjan","ABJ",9540,,
"Paris","CDG","Lomé","LFW",9543,,
"Paris","CDG","Abidjan","ABJ",9817,,
"Paris","CDG","Douala","DLA",10112,,
"Lyon","LYS","Libreville","LBV",10114,,
"Paris","CDG","Farasan","GIZ",10147,,
"Mascate","MCT","Stockholm","ARN",10179,,
"Paris","CDG","Yaounde","YAO",10201,,
"Montpellier/Méditerranée","MPL","Franceville","MVB",10247,,
"Londre","LTN","Boston","BOS",10476,,
"Paris","CDG","Dubai","DXB",10489,,
"Paris","CDG","abu d'abi","AUH",10515,,
"Roissy","CDG","Dushanbé","DYU",10555,,
"Rennes/Saint-Jacques","RNS","Montréal","YUL",10583,,
"Marseille","MRS","Mascate (Oman)","MCT",10584,,
"Bordeaux/Mérignac","BOD","Quebec (Canada)","YQB",10594,,
"Dakar","DSS","Sao Vicente","GRU",10628,,
"Nantes","NTE","Boston","BOS",10657,,
"Nantes","NTE","Montréal","YUL",10689,,
"Montpellier/Méditerranée","MPL","mascate (Oman)","MCT",10790,,
"Paris","CDG","Libreville","LBV",10890,,
"Mascate ","MCT","Brussels","BRU",10979,,
"Bordeaux/Mérignac","BOD","Boston","BOS",10981,,
"Bordeaux/Mérignac","BOD","addis abeba ","ADD",11004,,
"Bordeaux","BOD","Montréal","YUL",11049,,
"Paris","CDG","Montréal","YUL",11059,,
"Montréal","YUL","Paris","CDG",11059,,
"Paris","CDG","Boston","BOS",11081,,
"Boston","BOS","Paris","CDG",11081,,
"Montréal","YUL","Aalborg","AAL",11161,,
"Mascate","MCT","Paris","CDG",11169,,
"Paris","CDG","Mascate","MCT",11169,,
"Paris","CDG","Addis Ababa","ADD",11174,,
"Brussels","BRU","Boston","BOS",11183,,
"Boston","BOS","Bruxelles","BRU",11183,,
"Lyon","LYS","QUEBEC","YQB",11283,,
"Strasbourg","SXB","Qébec","YQB",11302,,
"Lyon","LYS","brazzaville","BZV",11308,,
"toulouse","TLS","Boston","BOS",11394,,
"Brest/Guipavas","BES","Washington","DCA",11446,,
"Toulouse/Blagnac","TLS","Montréal","YUL",11468,,
"Paris","CDG","Yale","HVN",11477,,
"Marseille","MRS","Québec","YQB",11568,,
"Paris","CDG","New York","JFK",11680,,
"New York","JFK","Paris","CDG",11680,,
"Lyon","LYS","Boston","BOS",11725,,
"Paris","CDG","Newark","EWR",11726,,
"Lyon","LYS","Montréal","YUL",11744,,
"Montréal ","YUL","Lyon","LYS",11744,,
"Montpellier","MPL","Montreal","YUL",11835,,
"Barcelona","BCN","Montréal","YUL",11836,,
"Bâle/Mulhouse","BSL","Boston","BOS",11883,,
"Marseille","MRS","Boston","BOS",11971,,
"Philadelphia","PHL","Paris","CDG",11982,,
"Boston","BOS","Stockholm","ARN",12011,,
"Marseille","MRS","Montréal","YUL",12024,,
"Paris","CDG","Toronto","YYZ",12053,,
"Paris ","CDG","Brazzaville","BZV",12112,,
"Brest","BES","Mascate","MCT",12172,,
"Paris","CDG","Baltimore","BWI",12270,,
"Nice","NCE","Montréal","YUL",12271,,
"Lyon","LYS","New York","JFK",12321,,
"Paris","CDG","Washington","DCA",12365,,
"Washington","DCA","Paris","CDG",12365,,
"Montpellier/Méditerranée","MPL","New York","JFK",12368,,
"Geneva","GVA","New York","JFK",12416,,
"Luxembourg","LUX","Philadelphie","PHL",12420,,
"brest","BES","chicago","MDW",12516,,
"Paris","CDG","Norfolk","ORF",12525,,
"Cayenne","CAY","Madrid","MAD",12550,,
"New York","JFK","Marseille","MRS",12564,,
"Paris","CDG","Pittsburgh","PIT",12566,,
"lyon ","LYS","Philadelphie","PHL",12623,,
"Toulouse","TLS","Washington D.C.","DCA",12667,,
"Lyon","LYS","Toronto","YYZ",12746,,
"Strasbourg","SXB","Toronto","YYZ",12754,,
"Nice","NCE","New York","JFK",12828,,
"Rennes/Saint-Jacques","RNS","Florence","FLO",12866,,
"Lyon","LYS","Baltimore, USA","BWI",12912,,
"Paris","CDG","Columbus","CMH",12985,,
"Paris","CDG","Nairobi","NBO",13005,,
"Lyon","LYS","Washington","DCA",13006,,
"Marseille","MRS","Toronto","YYZ",13032,,
"Montpellier/Méditerranée","MPL","Washington","DCA",13052,,
"Paris","CDG","New Delhi","DEL",13145,,
"Rennes/Saint-Jacques","RNS","Minneapolis","MSP",13171,,
"Paris","CDG","South Bend","SBN",13182,,
"Bordeaux/Mérignac","BOD","Florence","FLO",13241,,
"Marseille","MRS","Washington","DCA",13248,,
"Paris","CDG","Chicago","MDW",13352,,
"Toulouse","TLS","Blacksburg (USA)","BCB",13362,,
"frankfort","FRA","Detroit","DTW",13374,,
"toulouse","TLS","fort-de-france","FDF",13377,,
"Bordeaux/Mérignac","BOD","Cayenne ","CAY",13391,,
"Cayenne","CAY","Bordeaux","BOD",13391,,
"Paris","CDG","florence","FLO",13401,,
"Paris","CDG","Indianapolis","IND",13468,,
"Paris","CDG","point a pitre","PTP",13554,,
"Paris","CDG","Minneapolis","MSP",13565,,
"Lyon","LYS","toledo","TOL",13573,,
"Amsterdam","AMS","Louisville","SDF",13580,,
"Toulouse ","TLS","Cayenne","CAY",13582,,
"Rennes/Saint-Jacques","RNS","Atlanta","ATL",13610,,
"Paris","CDG","Louisville","SDF",13622,,
"Toulouse/Blagnac","TLS","Florence","FLO",13645,,
"Marseille","MRS","Fortaleza","FOR",13679,,
"Lyon","LYS","lucknow","LKO",13721,,
"Brussels","BRU","Columbia US","CAE",13747,,
"Fort-de-France","FDF","Paris","CDG",13755,,
"Paris","CDG","Fort De France","FDF",13755,,
"Nice","NCE","Pittsburgh","PIT",13756,,
"Toulouse","TLS","chicago","MDW",13823,,
"Paris","CDG","Burlington","BRL",13922,,
"Brest/Guipavas","BES","Recife","REC",13941,,
"Montpellier/Méditerranée","MPL","Cayenne","CAY",13966,,
"Cayenne","CAY","Montpellier","MPL",13966,,
"Lyon","LYS","Fortaleza (Brésil)","FOR",13981,,
"Paris","CDG","bombay","BOM",14003,,
"Lyon","LYS","Fort de France","FDF",14023,,
"Cuba","HAV","Montevideo","MVD",14029,,
"Montpellier/Méditerranée","MPL","San Juan","SJU",14033,,
"Clermont-ferrand","CFE","cayenne","CAY",14033,,
"toulouse","TLS","port-of-spain","POS",14038,,
"Lyon","LYS","Chicago","MDW",14064,,
"Clermont-Ferrand/Auvergne","CFE","Minneapolis","MSP",14072,,
"Bordeaux/Mérignac","BOD","Daytona Beach","DAB",14118,,
"Geneve","GVA","Florence","FLO",14121,,
"Paris","CDG","Atlanta","ATL",14127,,
"Strasbourg","SXB","Florence","FLO",14135,,
"Cayenne","CAY","Marseille","MRS",14145,,
"Paris","CDG","pokhara","PKR",14185,,
"Bale/Mulhouse","BSL","Florence","FLO",14203,,
"Lyon","LYS","San Juan","SJU",14209,,
"cayenne","CAY","Paris","CDG",14238,,
"Paris","CDG","pune,inde","PNQ",14238,,
"Paris","CDG","Cayenne","CAY",14238,,
"Paris","CDG","Natal","NAT",14242,,
"Bordeaux/Mérignac","BOD","Orlando","MCO",14260,,
"Tokyo","NRT","Brisbane","BNE",14311,,
"Paris","CDG","Dar es Salaam","DAR",14339,,
